country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Ukraine,2002,754911,753559,1352,100.1794153
South Korea,2006,244162,243726,436,100.1788894
Netherlands,1972,113576,113374,202,100.1781714
Canada,1969,154477,154203,274,100.1776879
Poland,1969,262823,262357,466,100.1776206
Finland,1953,39925,39855,70,100.1756367
Sweden,2012,91990,91829,161,100.1753259
Portugal,2019,112334,112138,196,100.1747846
Finland,1991,49306,49220,86,100.1747257
Belgium,1983,114876,114676,200,100.1744044
Estonia,1990,19531,19497,34,100.1743858
Poland,1960,224167,223778,389,100.173833
Czechia,2008,104948,104766,182,100.1737205
Australia,1964,100594,100420,174,100.1732723
Italy,1976,550565,549614,951,100.1730305
Italy,1966,496281,495425,856,100.1727809
Switzerland,2016,64964,64852,112,100.1727009
Netherlands,1975,113737,113541,196,100.1726249
Norway,1960,32543,32487,56,100.1723766
Italy,1977,546694,545755,939,100.1720552
Israel,1992,33327,33270,57,100.1713255
Germany,1990,921445,919871,1574,100.1711109
Finland,1984,45131,45054,77,100.170906
United Kingdom,2015,602781,601754,1027,100.1706677
Czechia,1995,117913,117713,200,100.1699048
Finland,1963,42010,41939,71,100.1692935
Australia,1985,117806,117607,199,100.1692076
Canada,1972,162413,162139,274,100.1689908
United States,2007,2423895,2419808,4087,100.1688977
Australia,1952,81597,81460,137,100.1681807
United Kingdom,1995,645493,644410,1083,100.1680607
United Kingdom,1950,590136,589147,989,100.1678698
Portugal,1963,98011,97847,164,100.1676086
Israel,1979,25700,25657,43,100.1675956
Norway,1968,37668,37605,63,100.1675309
Estonia,1989,18536,18505,31,100.1675223
Austria,2001,74767,74642,125,100.167466
Israel,1993,33000,32945,55,100.1669449
Australia,1961,88961,88814,147,100.1655144
Norway,1986,43666,43594,72,100.1651603
Finland,2006,48106,48027,79,100.1644908
New Zealand,1999,28224,28178,46,100.1632479
United Kingdom,1973,669692,668601,1091,100.1631765
Canada,1980,171473,171194,279,100.162973
United Kingdom,1994,627636,626617,1019,100.1626193
Switzerland,1958,49281,49201,80,100.1625983
Germany,1993,897270,895815,1455,100.1624219
New Zealand,1973,25290,25249,41,100.1623827
Hungary,1997,139434,139208,226,100.162347
Slovenia,2017,20509,20476,33,100.1611643
Hungary,1992,148781,148542,239,100.1608973
Reunion,2005,4365,4358,7,100.1606241
Germany,1992,885443,884025,1418,100.1604027
Italy,1988,539426,538568,858,100.1593114
Finland,1969,45966,45893,73,100.1590657
Sweden,1957,73132,73016,116,100.1588693
Netherlands,1976,114454,114274,180,100.1575161
Australia,1994,126982,126783,199,100.1569611
Switzerland,2011,62089,61992,97,100.1564718
Czechia,2012,108189,108020,169,100.1564525
Hungary,2013,126778,126580,198,100.1564228
Italy,1967,510122,509328,794,100.1558917
Norway,1952,28417,28373,44,100.155077
Sweden,2016,91071,90930,141,100.1550643
Estonia,1998,19446,19416,30,100.1545117
Switzerland,1967,55142,55057,85,100.1543855
Sweden,2008,91542,91401,141,100.1542653
United States,2006,2426299,2422573,3726,100.1538034
Austria,2013,79526,79404,122,100.1536447
United Kingdom,2006,572224,571347,877,100.1534969
Ukraine,1996,776717,775534,1183,100.1525401
Belgium,1984,111073,110904,169,100.152384
Ukraine,2005,781961,780775,1186,100.1519004
Czechia,2002,108243,108079,164,100.1517409
Canada,2012,246596,246225,371,100.1506752
Estonia,1986,17986,17959,27,100.1503424
Netherlands,2003,141936,141723,213,100.1502932
France,2008,532474,531678,796,100.1497147
United Kingdom,1999,632062,631120,942,100.1492585
Saint Vincent and the Grenadines,1990,671,670,1,100.1492537
Austria,2003,77209,77094,115,100.1491685
Finland,2003,49033,48960,73,100.1491013
Finland,1988,49090,49017,73,100.1489279
Italy,1989,531853,531063,790,100.1487582
Sweden,2000,93516,93378,138,100.1477864
Puerto Rico,1965,17686,17660,26,100.1472254
Austria,1998,78339,78224,115,100.1470137
Sweden,1959,70889,70785,104,100.1469238
Canada,2010,240075,239723,352,100.1468361
Netherlands,1973,110682,110520,162,100.1465798
Czechia,2009,107421,107264,157,100.1463678
Hungary,1959,103880,103729,151,100.1455716
Australia,1957,84953,84830,123,100.1449959
Australia,1953,80188,80072,116,100.1448696
Italy,1951,481911,481215,696,100.1446339
Finland,1996,49161,49090,71,100.1446323
United Kingdom,1951,632786,631875,911,100.1441741
Italy,1990,543708,542928,780,100.1436655
Norway,1997,44646,44582,64,100.1435557
Norway,1973,39958,39901,57,100.1428536
Hungary,2010,130456,130270,186,100.1427804
Spain,2020,493776,493075,701,100.142169
Ukraine,1995,792615,791491,1124,100.1420105
France,2010,541576,540813,763,100.1410839
Iceland,1978,1421,1419,2,100.1409443
Iceland,1977,1435,1433,2,100.1395673
Austria,2017,83270,83154,116,100.1395002
Hungary,1971,123009,122838,171,100.1392077
Netherlands,1977,110093,109940,153,100.1391668
Slovakia,2006,53301,53227,74,100.1390272
New Zealand,1974,25254,25219,35,100.1387842
Italy,1987,532771,532034,737,100.138525
Hungary,2018,131045,130864,181,100.1383115
United Kingdom,2013,576458,575663,795,100.1381016
Canada,1951,125454,125281,173,100.1380896
France,1964,516478,515775,703,100.1362997
North Macedonia,2020,25755,25720,35,100.1360809
Netherlands,1963,95734,95604,130,100.1359776
Netherlands,1995,135675,135491,184,100.1358024
Norway,1961,33313,33268,45,100.1352651
Canada,1987,184953,184704,249,100.1348103
Netherlands,1966,100516,100381,135,100.1344876
Slovakia,2007,53856,53784,72,100.1338688
Netherlands,1965,98026,97895,131,100.1338168
Hungary,1996,143130,142939,191,100.1336234
Czechia,2014,105665,105526,139,100.1317211
Puerto Rico,1988,25117,25084,33,100.131558
Finland,1973,43410,43353,57,100.1314788
